,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
663,2019/07/16 14:00:00,2019-07-16T13:00:00,"{'bid': 9641.0, 'ask': 9651.5, 'lastTraded': None}","{'bid': 9639.5, 'ask': 9649.5, 'lastTraded': None}","{'bid': 9649.0, 'ask': 9660.0, 'lastTraded': None}","{'bid': 9637.5, 'ask': 9648.5, 'lastTraded': None}",2
664,2019/07/16 16:00:00,2019-07-16T15:00:00,"{'bid': 9639.0, 'ask': 9650.0, 'lastTraded': None}","{'bid': 9647.0, 'ask': 9657.5, 'lastTraded': None}","{'bid': 9651.0, 'ask': 9661.5, 'lastTraded': None}","{'bid': 9639.0, 'ask': 9649.0, 'lastTraded': None}",0
665,2019/07/16 18:00:00,2019-07-16T17:00:00,"{'bid': 9646.5, 'ask': 9657.0, 'lastTraded': None}","{'bid': 9654.0, 'ask': 9663.5, 'lastTraded': None}","{'bid': 9657.5, 'ask': 9667.5, 'lastTraded': None}","{'bid': 9640.5, 'ask': 9651.0, 'lastTraded': None}",0
666,2019/07/16 20:00:00,2019-07-16T19:00:00,"{'bid': 9654.5, 'ask': 9663.0, 'lastTraded': None}","{'bid': 9647.5, 'ask': 9663.0, 'lastTraded': None}","{'bid': 9656.0, 'ask': 9665.5, 'lastTraded': None}","{'bid': 9647.5, 'ask': 9659.5, 'lastTraded': None}",48
667,2019/07/17 00:00:00,2019-07-16T23:00:00,"{'bid': 9650.0, 'ask': 9662.0, 'lastTraded': None}","{'bid': 9652.0, 'ask': 9662.0, 'lastTraded': None}","{'bid': 9655.5, 'ask': 9665.5, 'lastTraded': None}","{'bid': 9650.0, 'ask': 9660.5, 'lastTraded': None}",0
668,2019/07/17 02:00:00,2019-07-17T01:00:00,"{'bid': 9651.5, 'ask': 9661.5, 'lastTraded': None}","{'bid': 9651.0, 'ask': 9660.5, 'lastTraded': None}","{'bid': 9653.0, 'ask': 9663.0, 'lastTraded': None}","{'bid': 9647.5, 'ask': 9657.0, 'lastTraded': None}",0
669,2019/07/17 04:00:00,2019-07-17T03:00:00,"{'bid': 9650.5, 'ask': 9661.0, 'lastTraded': None}","{'bid': 9647.5, 'ask': 9657.0, 'lastTraded': None}","{'bid': 9654.8, 'ask': 9662.8, 'lastTraded': None}","{'bid': 9647.0, 'ask': 9657.0, 'lastTraded': None}",0
670,2019/07/17 06:00:00,2019-07-17T05:00:00,"{'bid': 9647.0, 'ask': 9656.5, 'lastTraded': None}","{'bid': 9657.5, 'ask': 9667.5, 'lastTraded': None}","{'bid': 9659.5, 'ask': 9669.0, 'lastTraded': None}","{'bid': 9646.5, 'ask': 9656.0, 'lastTraded': None}",0
671,2019/07/17 08:00:00,2019-07-17T07:00:00,"{'bid': 9657.0, 'ask': 9667.0, 'lastTraded': None}","{'bid': 9652.0, 'ask': 9661.5, 'lastTraded': None}","{'bid': 9657.0, 'ask': 9667.5, 'lastTraded': None}","{'bid': 9649.0, 'ask': 9658.5, 'lastTraded': None}",0
672,2019/07/17 10:00:00,2019-07-17T09:00:00,"{'bid': 9651.5, 'ask': 9662.0, 'lastTraded': None}","{'bid': 9647.0, 'ask': 9656.5, 'lastTraded': None}","{'bid': 9651.5, 'ask': 9662.0, 'lastTraded': None}","{'bid': 9645.5, 'ask': 9655.0, 'lastTraded': None}",1
673,2019/07/17 12:00:00,2019-07-17T11:00:00,"{'bid': 9646.5, 'ask': 9656.0, 'lastTraded': None}","{'bid': 9650.0, 'ask': 9659.5, 'lastTraded': None}","{'bid': 9652.0, 'ask': 9670.5, 'lastTraded': None}","{'bid': 9641.5, 'ask': 9654.0, 'lastTraded': None}",5
674,2019/07/17 14:00:00,2019-07-17T13:00:00,"{'bid': 9650.5, 'ask': 9659.0, 'lastTraded': None}","{'bid': 9637.0, 'ask': 9646.5, 'lastTraded': None}","{'bid': 9651.0, 'ask': 9660.0, 'lastTraded': None}","{'bid': 9636.0, 'ask': 9645.5, 'lastTraded': None}",16
675,2019/07/17 16:00:00,2019-07-17T15:00:00,"{'bid': 9637.5, 'ask': 9646.0, 'lastTraded': None}","{'bid': 9633.5, 'ask': 9642.5, 'lastTraded': None}","{'bid': 9638.0, 'ask': 9647.0, 'lastTraded': None}","{'bid': 9629.5, 'ask': 9638.5, 'lastTraded': None}",34
676,2019/07/17 18:00:00,2019-07-17T17:00:00,"{'bid': 9634.0, 'ask': 9643.0, 'lastTraded': None}","{'bid': 9635.0, 'ask': 9644.5, 'lastTraded': None}","{'bid': 9636.5, 'ask': 9646.0, 'lastTraded': None}","{'bid': 9630.0, 'ask': 9639.0, 'lastTraded': None}",28
677,2019/07/17 20:00:00,2019-07-17T19:00:00,"{'bid': 9635.5, 'ask': 9644.0, 'lastTraded': None}","{'bid': 9633.0, 'ask': 9647.5, 'lastTraded': None}","{'bid': 9639.0, 'ask': 9648.5, 'lastTraded': None}","{'bid': 9633.0, 'ask': 9644.0, 'lastTraded': None}",2
