Unnamed: 0,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2829,2020/03/20 12:00:00,2020-03-20T12:00:00,"{'bid': 1503.32, 'ask': 1503.82, 'lastTraded': None}","{'bid': 1489.66, 'ask': 1490.16, 'lastTraded': None}","{'bid': 1507.42, 'ask': 1508.09, 'lastTraded': None}","{'bid': 1485.65, 'ask': 1486.15, 'lastTraded': None}",22894
2830,2020/03/20 14:00:00,2020-03-20T14:00:00,"{'bid': 1489.45, 'ask': 1490.28, 'lastTraded': None}","{'bid': 1490.14, 'ask': 1490.64, 'lastTraded': None}","{'bid': 1500.14, 'ask': 1500.89, 'lastTraded': None}","{'bid': 1487.42, 'ask': 1487.72, 'lastTraded': None}",24893
2831,2020/03/20 16:00:00,2020-03-20T16:00:00,"{'bid': 1490.11, 'ask': 1490.61, 'lastTraded': None}","{'bid': 1483.24, 'ask': 1483.74, 'lastTraded': None}","{'bid': 1491.97, 'ask': 1492.57, 'lastTraded': None}","{'bid': 1479.84, 'ask': 1480.34, 'lastTraded': None}",20944
2832,2020/03/20 18:00:00,2020-03-20T18:00:00,"{'bid': 1483.2, 'ask': 1483.7, 'lastTraded': None}","{'bid': 1489.14, 'ask': 1489.64, 'lastTraded': None}","{'bid': 1493.55, 'ask': 1494.05, 'lastTraded': None}","{'bid': 1479.2, 'ask': 1479.7, 'lastTraded': None}",17890
2833,2020/03/20 20:00:00,2020-03-20T20:00:00,"{'bid': 1489.11, 'ask': 1489.61, 'lastTraded': None}","{'bid': 1497.7, 'ask': 1499.7, 'lastTraded': None}","{'bid': 1500.04, 'ask': 1501.32, 'lastTraded': None}","{'bid': 1486.33, 'ask': 1486.95, 'lastTraded': None}",4112
2834,2020/03/22 22:00:00,2020-03-22T22:00:00,"{'bid': 1507.68, 'ask': 1508.48, 'lastTraded': None}","{'bid': 1491.36, 'ask': 1492.35, 'lastTraded': None}","{'bid': 1508.09, 'ask': 1508.98, 'lastTraded': None}","{'bid': 1482.43, 'ask': 1483.03, 'lastTraded': None}",14245
2835,2020/03/23 00:00:00,2020-03-23T00:00:00,"{'bid': 1491.12, 'ask': 1492.08, 'lastTraded': None}","{'bid': 1492.42, 'ask': 1492.92, 'lastTraded': None}","{'bid': 1501.35, 'ask': 1501.85, 'lastTraded': None}","{'bid': 1485.58, 'ask': 1486.61, 'lastTraded': None}",16418
2836,2020/03/23 02:00:00,2020-03-23T02:00:00,"{'bid': 1492.27, 'ask': 1493.08, 'lastTraded': None}","{'bid': 1493.18, 'ask': 1493.99, 'lastTraded': None}","{'bid': 1497.86, 'ask': 1498.78, 'lastTraded': None}","{'bid': 1489.82, 'ask': 1490.61, 'lastTraded': None}",14942
2837,2020/03/23 04:00:00,2020-03-23T04:00:00,"{'bid': 1493.4, 'ask': 1493.9, 'lastTraded': None}","{'bid': 1494.32, 'ask': 1494.82, 'lastTraded': None}","{'bid': 1495.86, 'ask': 1496.59, 'lastTraded': None}","{'bid': 1490.52, 'ask': 1491.12, 'lastTraded': None}",11553
2838,2020/03/23 06:00:00,2020-03-23T06:00:00,"{'bid': 1494.52, 'ask': 1494.98, 'lastTraded': None}","{'bid': 1489.99, 'ask': 1490.83, 'lastTraded': None}","{'bid': 1494.82, 'ask': 1495.5, 'lastTraded': None}","{'bid': 1484.81, 'ask': 1485.38, 'lastTraded': None}",16150
