,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
19,2019/04/30 10:00:00,2019-04-30T09:00:00,"{'bid': 1.12057, 'ask': 1.12072, 'lastTraded': None}","{'bid': 1.12117, 'ask': 1.12123, 'lastTraded': None}","{'bid': 1.12159, 'ask': 1.12165, 'lastTraded': None}","{'bid': 1.12039, 'ask': 1.12045, 'lastTraded': None}",12181
20,2019/04/30 12:00:00,2019-04-30T11:00:00,"{'bid': 1.12116, 'ask': 1.12122, 'lastTraded': None}","{'bid': 1.12192, 'ask': 1.12198, 'lastTraded': None}","{'bid': 1.1228, 'ask': 1.12286, 'lastTraded': None}","{'bid': 1.12098, 'ask': 1.12104, 'lastTraded': None}",17092
21,2019/04/30 14:00:00,2019-04-30T13:00:00,"{'bid': 1.12191, 'ask': 1.12197, 'lastTraded': None}","{'bid': 1.12052, 'ask': 1.12058, 'lastTraded': None}","{'bid': 1.12288, 'ask': 1.12294, 'lastTraded': None}","{'bid': 1.12049, 'ask': 1.12055, 'lastTraded': None}",22666
22,2019/04/30 16:00:00,2019-04-30T15:00:00,"{'bid': 1.1205, 'ask': 1.12056, 'lastTraded': None}","{'bid': 1.12166, 'ask': 1.12172, 'lastTraded': None}","{'bid': 1.12173, 'ask': 1.12179, 'lastTraded': None}","{'bid': 1.11973, 'ask': 1.11979, 'lastTraded': None}",17549
23,2019/04/30 18:00:00,2019-04-30T17:00:00,"{'bid': 1.12165, 'ask': 1.12171, 'lastTraded': None}","{'bid': 1.12215, 'ask': 1.12221, 'lastTraded': None}","{'bid': 1.12253, 'ask': 1.12259, 'lastTraded': None}","{'bid': 1.12132, 'ask': 1.12138, 'lastTraded': None}",12472
24,2019/04/30 20:00:00,2019-04-30T19:00:00,"{'bid': 1.12216, 'ask': 1.12222, 'lastTraded': None}","{'bid': 1.12144, 'ask': 1.12159, 'lastTraded': None}","{'bid': 1.12225, 'ask': 1.12235, 'lastTraded': None}","{'bid': 1.12128, 'ask': 1.12144, 'lastTraded': None}",8044
25,2019/04/30 22:00:00,2019-04-30T21:00:00,"{'bid': 1.12143, 'ask': 1.1216, 'lastTraded': None}","{'bid': 1.12108, 'ask': 1.12114, 'lastTraded': None}","{'bid': 1.12167, 'ask': 1.12182, 'lastTraded': None}","{'bid': 1.12101, 'ask': 1.12112, 'lastTraded': None}",5381
26,2019/05/01 00:00:00,2019-04-30T23:00:00,"{'bid': 1.12109, 'ask': 1.12115, 'lastTraded': None}","{'bid': 1.1218, 'ask': 1.12186, 'lastTraded': None}","{'bid': 1.12181, 'ask': 1.12187, 'lastTraded': None}","{'bid': 1.12105, 'ask': 1.12115, 'lastTraded': None}",3451
27,2019/05/01 02:00:00,2019-05-01T01:00:00,"{'bid': 1.12181, 'ask': 1.12187, 'lastTraded': None}","{'bid': 1.12149, 'ask': 1.12155, 'lastTraded': None}","{'bid': 1.12185, 'ask': 1.12191, 'lastTraded': None}","{'bid': 1.12134, 'ask': 1.1214, 'lastTraded': None}",2739
28,2019/05/01 04:00:00,2019-05-01T03:00:00,"{'bid': 1.1215, 'ask': 1.12156, 'lastTraded': None}","{'bid': 1.12172, 'ask': 1.12178, 'lastTraded': None}","{'bid': 1.12196, 'ask': 1.12202, 'lastTraded': None}","{'bid': 1.12148, 'ask': 1.12154, 'lastTraded': None}",2277
29,2019/05/01 06:00:00,2019-05-01T05:00:00,"{'bid': 1.12173, 'ask': 1.12179, 'lastTraded': None}","{'bid': 1.12161, 'ask': 1.12167, 'lastTraded': None}","{'bid': 1.12202, 'ask': 1.1221, 'lastTraded': None}","{'bid': 1.12139, 'ask': 1.12145, 'lastTraded': None}",3837
30,2019/05/01 08:00:00,2019-05-01T07:00:00,"{'bid': 1.12158, 'ask': 1.12164, 'lastTraded': None}","{'bid': 1.12278, 'ask': 1.12284, 'lastTraded': None}","{'bid': 1.12299, 'ask': 1.1231, 'lastTraded': None}","{'bid': 1.12156, 'ask': 1.12162, 'lastTraded': None}",8407
