,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
19,2019/04/30 10:00:00,2019-04-30T09:00:00,"{'bid': 6.74142, 'ask': 6.74292, 'lastTraded': None}","{'bid': 6.73942, 'ask': 6.74092, 'lastTraded': None}","{'bid': 6.74172, 'ask': 6.74322, 'lastTraded': None}","{'bid': 6.73831, 'ask': 6.73981, 'lastTraded': None}",8328
20,2019/04/30 12:00:00,2019-04-30T11:00:00,"{'bid': 6.73943, 'ask': 6.74093, 'lastTraded': None}","{'bid': 6.73838, 'ask': 6.73988, 'lastTraded': None}","{'bid': 6.7396, 'ask': 6.7411, 'lastTraded': None}","{'bid': 6.7372, 'ask': 6.73855, 'lastTraded': None}",8986
21,2019/04/30 14:00:00,2019-04-30T13:00:00,"{'bid': 6.73835, 'ask': 6.73985, 'lastTraded': None}","{'bid': 6.7408, 'ask': 6.7423, 'lastTraded': None}","{'bid': 6.74177, 'ask': 6.74327, 'lastTraded': None}","{'bid': 6.73692, 'ask': 6.73842, 'lastTraded': None}",13241
22,2019/04/30 16:00:00,2019-04-30T15:00:00,"{'bid': 6.74093, 'ask': 6.74243, 'lastTraded': None}","{'bid': 6.73744, 'ask': 6.73894, 'lastTraded': None}","{'bid': 6.74267, 'ask': 6.74417, 'lastTraded': None}","{'bid': 6.73744, 'ask': 6.73894, 'lastTraded': None}",11322
23,2019/04/30 18:00:00,2019-04-30T17:00:00,"{'bid': 6.7375, 'ask': 6.739, 'lastTraded': None}","{'bid': 6.73676, 'ask': 6.73826, 'lastTraded': None}","{'bid': 6.73838, 'ask': 6.73988, 'lastTraded': None}","{'bid': 6.73585, 'ask': 6.73735, 'lastTraded': None}",8074
24,2019/04/30 20:00:00,2019-04-30T19:00:00,"{'bid': 6.73671, 'ask': 6.73821, 'lastTraded': None}","{'bid': 6.73642, 'ask': 6.73811, 'lastTraded': None}","{'bid': 6.73796, 'ask': 6.73988, 'lastTraded': None}","{'bid': 6.73494, 'ask': 6.73644, 'lastTraded': None}",6257
25,2019/04/30 22:00:00,2019-04-30T21:00:00,"{'bid': 6.73647, 'ask': 6.73808, 'lastTraded': None}","{'bid': 6.74098, 'ask': 6.74261, 'lastTraded': None}","{'bid': 6.74099, 'ask': 6.74372, 'lastTraded': None}","{'bid': 6.73566, 'ask': 6.73793, 'lastTraded': None}",2228
26,2019/05/01 00:00:00,2019-04-30T23:00:00,"{'bid': 6.74089, 'ask': 6.74259, 'lastTraded': None}","{'bid': 6.73735, 'ask': 6.73885, 'lastTraded': None}","{'bid': 6.741, 'ask': 6.74261, 'lastTraded': None}","{'bid': 6.73722, 'ask': 6.73872, 'lastTraded': None}",5075
27,2019/05/01 02:00:00,2019-05-01T01:00:00,"{'bid': 6.73734, 'ask': 6.73884, 'lastTraded': None}","{'bid': 6.73698, 'ask': 6.73848, 'lastTraded': None}","{'bid': 6.74015, 'ask': 6.74165, 'lastTraded': None}","{'bid': 6.73592, 'ask': 6.73742, 'lastTraded': None}",6092
28,2019/05/01 04:00:00,2019-05-01T03:00:00,"{'bid': 6.73695, 'ask': 6.73845, 'lastTraded': None}","{'bid': 6.73469, 'ask': 6.73619, 'lastTraded': None}","{'bid': 6.73714, 'ask': 6.73864, 'lastTraded': None}","{'bid': 6.73331, 'ask': 6.73481, 'lastTraded': None}",6423
29,2019/05/01 06:00:00,2019-05-01T05:00:00,"{'bid': 6.73476, 'ask': 6.73626, 'lastTraded': None}","{'bid': 6.73591, 'ask': 6.73741, 'lastTraded': None}","{'bid': 6.7367, 'ask': 6.7382, 'lastTraded': None}","{'bid': 6.73332, 'ask': 6.73482, 'lastTraded': None}",6606
30,2019/05/01 08:00:00,2019-05-01T07:00:00,"{'bid': 6.73586, 'ask': 6.73736, 'lastTraded': None}","{'bid': 6.72427, 'ask': 6.72577, 'lastTraded': None}","{'bid': 6.73595, 'ask': 6.73745, 'lastTraded': None}","{'bid': 6.72389, 'ask': 6.72539, 'lastTraded': None}",10059
31,2019/05/01 10:00:00,2019-05-01T09:00:00,"{'bid': 6.7244, 'ask': 6.7259, 'lastTraded': None}","{'bid': 6.72757, 'ask': 6.72907, 'lastTraded': None}","{'bid': 6.72785, 'ask': 6.72935, 'lastTraded': None}","{'bid': 6.72217, 'ask': 6.72367, 'lastTraded': None}",8001
32,2019/05/01 12:00:00,2019-05-01T11:00:00,"{'bid': 6.72754, 'ask': 6.72904, 'lastTraded': None}","{'bid': 6.72832, 'ask': 6.72982, 'lastTraded': None}","{'bid': 6.72878, 'ask': 6.73028, 'lastTraded': None}","{'bid': 6.72653, 'ask': 6.72803, 'lastTraded': None}",9688
33,2019/05/01 14:00:00,2019-05-01T13:00:00,"{'bid': 6.72833, 'ask': 6.72983, 'lastTraded': None}","{'bid': 6.72839, 'ask': 6.72989, 'lastTraded': None}","{'bid': 6.72997, 'ask': 6.73147, 'lastTraded': None}","{'bid': 6.72404, 'ask': 6.72554, 'lastTraded': None}",13946
34,2019/05/01 16:00:00,2019-05-01T15:00:00,"{'bid': 6.72858, 'ask': 6.73008, 'lastTraded': None}","{'bid': 6.72811, 'ask': 6.72961, 'lastTraded': None}","{'bid': 6.72875, 'ask': 6.73025, 'lastTraded': None}","{'bid': 6.7253, 'ask': 6.7268, 'lastTraded': None}",8730
35,2019/05/01 18:00:00,2019-05-01T17:00:00,"{'bid': 6.72808, 'ask': 6.72958, 'lastTraded': None}","{'bid': 6.73184, 'ask': 6.73334, 'lastTraded': None}","{'bid': 6.73401, 'ask': 6.73551, 'lastTraded': None}","{'bid': 6.71696, 'ask': 6.71846, 'lastTraded': None}",14985
36,2019/05/01 20:00:00,2019-05-01T19:00:00,"{'bid': 6.73191, 'ask': 6.73341, 'lastTraded': None}","{'bid': 6.73059, 'ask': 6.73559, 'lastTraded': None}","{'bid': 6.7349, 'ask': 6.7364, 'lastTraded': None}","{'bid': 6.73042, 'ask': 6.73192, 'lastTraded': None}",12480
37,2019/05/01 22:00:00,2019-05-01T21:00:00,"{'bid': 6.73055, 'ask': 6.73555, 'lastTraded': None}","{'bid': 6.73011, 'ask': 6.73161, 'lastTraded': None}","{'bid': 6.73403, 'ask': 6.73783, 'lastTraded': None}","{'bid': 6.72924, 'ask': 6.73074, 'lastTraded': None}",7755
38,2019/05/02 00:00:00,2019-05-01T23:00:00,"{'bid': 6.73049, 'ask': 6.73199, 'lastTraded': None}","{'bid': 6.73037, 'ask': 6.73187, 'lastTraded': None}","{'bid': 6.73268, 'ask': 6.73418, 'lastTraded': None}","{'bid': 6.72889, 'ask': 6.73061, 'lastTraded': None}",8373
39,2019/05/02 02:00:00,2019-05-02T01:00:00,"{'bid': 6.73038, 'ask': 6.73188, 'lastTraded': None}","{'bid': 6.73815, 'ask': 6.73965, 'lastTraded': None}","{'bid': 6.7396, 'ask': 6.7411, 'lastTraded': None}","{'bid': 6.72466, 'ask': 6.72616, 'lastTraded': None}",12462
40,2019/05/02 04:00:00,2019-05-02T03:00:00,"{'bid': 6.73819, 'ask': 6.73969, 'lastTraded': None}","{'bid': 6.74039, 'ask': 6.74189, 'lastTraded': None}","{'bid': 6.741, 'ask': 6.7425, 'lastTraded': None}","{'bid': 6.73545, 'ask': 6.73682, 'lastTraded': None}",9487
