,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
0,2019/04/23 00:00:00,2019-04-22T23:00:00,"{'bid': 7719.8, 'ask': 7721.8, 'lastTraded': None}","{'bid': 7711.1, 'ask': 7713.1, 'lastTraded': None}","{'bid': 7723.0, 'ask': 7725.0, 'lastTraded': None}","{'bid': 7709.3, 'ask': 7711.3, 'lastTraded': None}",4081
1,2019/04/23 02:00:00,2019-04-23T01:00:00,"{'bid': 7711.3, 'ask': 7713.3, 'lastTraded': None}","{'bid': 7714.9, 'ask': 7716.9, 'lastTraded': None}","{'bid': 7717.9, 'ask': 7719.9, 'lastTraded': None}","{'bid': 7705.8, 'ask': 7707.8, 'lastTraded': None}",7502
2,2019/04/23 04:00:00,2019-04-23T03:00:00,"{'bid': 7714.8, 'ask': 7716.8, 'lastTraded': None}","{'bid': 7719.3, 'ask': 7721.3, 'lastTraded': None}","{'bid': 7720.8, 'ask': 7722.8, 'lastTraded': None}","{'bid': 7713.8, 'ask': 7715.8, 'lastTraded': None}",2761
3,2019/04/23 06:00:00,2019-04-23T05:00:00,"{'bid': 7719.5, 'ask': 7721.5, 'lastTraded': None}","{'bid': 7721.4, 'ask': 7723.4, 'lastTraded': None}","{'bid': 7728.8, 'ask': 7730.8, 'lastTraded': None}","{'bid': 7719.5, 'ask': 7721.5, 'lastTraded': None}",5504
4,2019/04/23 08:00:00,2019-04-23T07:00:00,"{'bid': 7721.3, 'ask': 7723.3, 'lastTraded': None}","{'bid': 7711.3, 'ask': 7713.3, 'lastTraded': None}","{'bid': 7721.8, 'ask': 7723.8, 'lastTraded': None}","{'bid': 7708.9, 'ask': 7710.9, 'lastTraded': None}",7065
5,2019/04/23 10:00:00,2019-04-23T09:00:00,"{'bid': 7711.1, 'ask': 7713.1, 'lastTraded': None}","{'bid': 7706.5, 'ask': 7708.5, 'lastTraded': None}","{'bid': 7712.3, 'ask': 7714.3, 'lastTraded': None}","{'bid': 7704.6, 'ask': 7706.6, 'lastTraded': None}",5486
6,2019/04/23 12:00:00,2019-04-23T11:00:00,"{'bid': 7706.6, 'ask': 7708.6, 'lastTraded': None}","{'bid': 7720.0, 'ask': 7722.0, 'lastTraded': None}","{'bid': 7727.5, 'ask': 7729.5, 'lastTraded': None}","{'bid': 7704.8, 'ask': 7706.8, 'lastTraded': None}",17487
7,2019/04/23 14:00:00,2019-04-23T13:00:00,"{'bid': 7720.1, 'ask': 7722.1, 'lastTraded': None}","{'bid': 7765.0, 'ask': 7766.0, 'lastTraded': None}","{'bid': 7774.5, 'ask': 7775.5, 'lastTraded': None}","{'bid': 7717.5, 'ask': 7719.5, 'lastTraded': None}",140678
8,2019/04/23 16:00:00,2019-04-23T15:00:00,"{'bid': 7765.2, 'ask': 7766.2, 'lastTraded': None}","{'bid': 7804.7, 'ask': 7805.7, 'lastTraded': None}","{'bid': 7808.7, 'ask': 7809.7, 'lastTraded': None}","{'bid': 7758.7, 'ask': 7759.7, 'lastTraded': None}",114422
9,2019/04/23 18:00:00,2019-04-23T17:00:00,"{'bid': 7804.6, 'ask': 7805.6, 'lastTraded': None}","{'bid': 7814.1, 'ask': 7815.1, 'lastTraded': None}","{'bid': 7815.6, 'ask': 7816.6, 'lastTraded': None}","{'bid': 7801.7, 'ask': 7802.7, 'lastTraded': None}",50459
