,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2860,2020/03/23 00:00:00,2020-03-23T00:00:00,"{'bid': 2200.21, 'ask': 2201.41, 'lastTraded': None}","{'bid': 2206.46, 'ask': 2207.66, 'lastTraded': None}","{'bid': 2215.21, 'ask': 2216.41, 'lastTraded': None}","{'bid': 2183.71, 'ask': 2184.91, 'lastTraded': None}",83894
2861,2020/03/23 02:00:00,2020-03-23T02:00:00,"{'bid': 2206.21, 'ask': 2207.41, 'lastTraded': None}","{'bid': 2208.21, 'ask': 2209.41, 'lastTraded': None}","{'bid': 2232.71, 'ask': 2233.91, 'lastTraded': None}","{'bid': 2184.96, 'ask': 2186.16, 'lastTraded': None}",56684
2862,2020/03/23 04:00:00,2020-03-23T04:00:00,"{'bid': 2207.96, 'ask': 2209.16, 'lastTraded': None}","{'bid': 2211.21, 'ask': 2212.41, 'lastTraded': None}","{'bid': 2222.21, 'ask': 2223.41, 'lastTraded': None}","{'bid': 2184.71, 'ask': 2185.91, 'lastTraded': None}",32289
2863,2020/03/23 06:00:00,2020-03-23T06:00:00,"{'bid': 2210.96, 'ask': 2212.16, 'lastTraded': None}","{'bid': 2217.71, 'ask': 2218.91, 'lastTraded': None}","{'bid': 2239.71, 'ask': 2240.91, 'lastTraded': None}","{'bid': 2200.46, 'ask': 2201.66, 'lastTraded': None}",51468
2864,2020/03/23 08:00:00,2020-03-23T08:00:00,"{'bid': 2218.21, 'ask': 2219.41, 'lastTraded': None}","{'bid': 2229.21, 'ask': 2230.41, 'lastTraded': None}","{'bid': 2241.96, 'ask': 2243.16, 'lastTraded': None}","{'bid': 2202.21, 'ask': 2203.41, 'lastTraded': None}",76209
2865,2020/03/23 10:00:00,2020-03-23T10:00:00,"{'bid': 2229.46, 'ask': 2230.66, 'lastTraded': None}","{'bid': 2225.09, 'ask': 2226.29, 'lastTraded': None}","{'bid': 2249.09, 'ask': 2250.29, 'lastTraded': None}","{'bid': 2213.96, 'ask': 2215.16, 'lastTraded': None}",64001
2866,2020/03/23 12:00:00,2020-03-23T12:00:00,"{'bid': 2224.21, 'ask': 2225.41, 'lastTraded': None}","{'bid': 2281.0, 'ask': 2282.0, 'lastTraded': None}","{'bid': 2394.46, 'ask': 2395.66, 'lastTraded': None}","{'bid': 2224.21, 'ask': 2225.41, 'lastTraded': None}",615814
2867,2020/03/23 14:00:00,2020-03-23T14:00:00,"{'bid': 2280.63, 'ask': 2281.63, 'lastTraded': None}","{'bid': 2210.74, 'ask': 2211.74, 'lastTraded': None}","{'bid': 2294.38, 'ask': 2295.38, 'lastTraded': None}","{'bid': 2189.12, 'ask': 2190.12, 'lastTraded': None}",550518
2868,2020/03/23 16:00:00,2020-03-23T16:00:00,"{'bid': 2210.87, 'ask': 2211.87, 'lastTraded': None}","{'bid': 2236.34, 'ask': 2237.34, 'lastTraded': None}","{'bid': 2299.62, 'ask': 2300.62, 'lastTraded': None}","{'bid': 2198.62, 'ask': 2199.62, 'lastTraded': None}",557740
2869,2020/03/23 18:00:00,2020-03-23T18:00:00,"{'bid': 2236.97, 'ask': 2237.97, 'lastTraded': None}","{'bid': 2228.22, 'ask': 2229.22, 'lastTraded': None}","{'bid': 2258.22, 'ask': 2259.22, 'lastTraded': None}","{'bid': 2195.59, 'ask': 2196.59, 'lastTraded': None}",691926
